wavelength,intensity
180.860,2049
180.937,2086
181.008,2013
181.122,2124
181.191,2187
181.264,2042
181.374,2116
181.447,2109
181.507,2134
181.603,2011
181.689,2153
181.774,2149
181.852,2111
181.918,2032
181.974,2144
182.083,2076
182.158,2059
182.246,2107
182.340,2087
182.416,2068
182.472,2099
182.528,2126
182.648,2138
182.729,2143
182.790,2021
182.877,2197
182.944,2259
183.021,2061
183.104,2151
183.182,2093
183.261,2092
183.358,2097
183.455,2121
183.562,2255
183.623,2161
183.687,2123
183.771,2069
183.863,1994
183.959,2027
184.041,2243
184.134,2033
184.201,2161
184.261,2121
184.321,2121
184.390,2105
184.454,2105
184.530,1988
184.611,2121
184.704,2076
184.807,2138
184.885,2069
184.996,2070
185.055,2175
185.139,2108
185.234,2015
185.293,2062
185.387,2081
185.496,2113
185.613,2096
185.685,2103
185.774,2169
185.874,2172
185.996,2165
186.051,2005
186.145,2224
186.208,2198
186.280,2198
186.364,2065
186.458,2130
186.580,2169
186.663,2104
186.775,2136
186.846,2078
186.924,2064
187.025,2106
187.100,2170
187.207,2162
187.282,2220
187.388,2150
187.477,2109
187.581,2130
187.703,2104
187.759,2074
187.867,2100
187.957,2019
188.056,2122
188.136,2108
188.241,2068
188.320,2137
188.431,2135
188.540,2063
188.620,2085
188.717,2041
188.832,2141
188.917,2143
189.000,2135
189.098,2127
189.220,2123
189.342,2196
189.398,2040
189.497,2087
189.562,2081
189.618,2025
189.701,2184
189.785,2042
189.866,2198
189.948,2078
190.028,2123
190.107,2081
190.209,2106
190.306,2111
190.396,2214
190.465,2184
190.548,2046
190.631,2102
190.716,2085
190.792,2192
190.884,2110
190.940,2165
190.996,2134
191.115,2168
191.178,2152
191.234,2144
191.339,2096
191.395,2210
191.461,2032
191.545,2093
191.667,2121
191.770,2089
191.826,2175
191.882,2196
191.978,2214
192.097,2039
192.178,2229
192.238,2187
192.310,2277
192.430,2176
192.488,2060
192.544,2201
192.622,2143
192.698,2226
192.775,2120
192.861,2189
192.983,2137
193.064,2158
193.181,2098
193.280,2175
193.359,2110
193.425,2055
193.484,2210
193.582,2020
193.675,2231
193.797,2160
193.886,2078
193.945,2179
194.019,2228
194.075,2130
194.166,2236
194.254,2135
194.353,2210
194.450,2325
194.572,2122
194.659,2181
194.782,2159
194.871,2099
194.965,2113
195.058,2198
195.162,2160
195.256,2135
195.337,2129
195.403,2085
195.495,2132
195.602,2079
195.707,2111
195.799,2214
195.910,2023
195.997,2114
196.093,2181
196.191,2186
196.250,2114
196.345,2085
196.423,2185
196.492,2167
196.583,2241
196.654,2142
196.729,2235
196.805,2082
196.903,2165
197.003,2313
197.088,2088
197.208,2168
197.297,2087
197.388,2087
197.454,2154
197.510,2144
197.607,2088
197.694,2085
197.766,2194
197.849,2087
197.937,2136
198.022,2091
198.123,2086
198.195,2220
198.286,2056
198.382,2165
198.471,2212
198.536,2193
198.627,2276
198.748,2072
198.844,2124
198.933,2157
199.055,2085
199.135,2167
199.191,2110
199.276,2225
199.344,2022
199.435,2120
199.509,2180
199.579,2130
199.697,2124
199.806,2182
199.909,2280
200.000,2179
200.083,2105
200.184,2228
200.261,2177
200.352,2056
200.466,2135
200.549,2019
200.641,2082
200.733,2138
200.795,2227
200.907,2200
201.003,2144
201.089,2149
201.211,2114
201.325,2100
201.423,2254
201.494,2179
201.591,2182
201.651,2264
201.768,2185
201.824,2189
201.936,2213
202.014,2197
202.070,2194
202.149,2211
202.215,2217
202.286,2070
202.356,2064
202.427,2211
202.532,2170
202.617,2197
202.690,2203
202.746,2131
202.832,2124
202.948,2221
203.020,2208
203.100,2293
203.156,2168
203.248,2083
203.305,2283
203.391,2164
203.470,2094
203.545,2166
203.634,2181
203.714,2178
203.781,2179
203.872,2204
203.954,2077
204.010,2196
204.071,2326
204.163,2024
204.233,2089
204.289,2242
204.403,2171
204.488,2120
204.579,2236
204.664,2173
204.760,2168
204.828,2179
204.907,2228
204.963,2212
205.074,2169
205.163,2157
205.219,2230
205.307,2189
205.364,2227
205.441,2203
205.527,2250
205.631,2249
205.693,2229
205.773,2220
205.862,2216
205.958,2162
206.054,2231
206.151,2182
206.237,2125
206.333,2127
206.409,2124
206.502,2127
206.557,2155
206.657,2119
206.754,2238
206.858,2216
206.947,2110
207.018,2158
207.107,2236
207.229,2233
207.322,2201
207.378,2205
207.465,2139
207.532,2264
207.602,2182
207.677,2246
207.795,2273
207.876,2267
207.962,2169
208.058,2185
208.157,2258
208.248,2257
208.370,2179
208.479,2031
208.569,2226
208.639,2193
208.747,2205
208.860,2263
208.975,2184
209.060,2167
209.136,2158
209.192,2153
209.285,2107
209.357,2212
209.470,2214
209.553,2230
209.611,2297
209.733,2224
209.791,2200
209.847,2178
209.913,2173
210.017,2278
210.124,2214
210.211,2163
210.313,2215
210.396,2258
210.499,2270
210.581,2163
210.682,2259
210.760,2193
210.856,2190
210.917,2138
211.008,2175
211.095,2167
211.152,2253
211.220,2189
211.314,2236
211.424,2233
211.506,2259
211.625,2190
211.696,2139
211.768,2161
211.824,2198
211.909,2203
211.994,2311
212.059,2224
212.153,2206
212.220,2203
212.321,2309
212.397,2239
212.488,2169
212.551,2308
212.668,2207
212.765,2187
212.821,2195
212.903,2260
213.003,2265
213.125,2234
213.212,2205
213.316,2219
213.396,2166
213.507,2194
213.563,2226
213.644,2287
213.730,2164
213.808,2304
213.907,2215
213.966,2247
214.067,2263
214.148,2250
214.217,2196
214.286,2101
214.348,2236
214.424,2156
214.515,2175
214.628,2251
214.698,2190
214.764,2251
214.844,2217
214.900,2182
214.997,2163
215.063,2220
215.119,2256
215.203,2365
215.300,2240
215.394,2212
215.497,2247
215.584,2249
215.677,2241
215.765,2214
215.858,2176
215.950,2195
216.044,2211
216.100,2210
216.163,2250
216.219,2210
216.311,2202
216.399,2155
216.486,2104
216.547,2373
216.655,2244
216.711,2247
216.802,2173
216.895,2229
216.991,2308
217.092,2218
217.195,2306
217.274,2237
217.338,2257
217.410,2364
217.493,2300
217.548,2293
217.604,2178
217.689,2279
217.764,2234
217.851,2153
217.934,2190
218.036,2244
218.124,2179
218.200,2166
218.267,2236
218.358,2165
218.437,2260
218.505,2221
218.591,2275
218.665,2254
218.751,2305
218.828,2269
218.925,2267
218.993,2215
219.073,2151
219.176,2302
