wavelength,intensity
180.860,2118
180.937,2103
181.008,2047
181.122,2059
181.191,2023
181.264,2231
181.374,2088
181.447,2188
181.507,2084
181.603,2063
181.689,2216
181.774,2061
181.852,2166
181.918,2122
181.974,2099
182.083,2104
182.158,2035
182.246,2092
182.340,2181
182.416,2109
182.472,2148
182.528,2128
182.648,2142
182.729,2107
182.790,2083
182.877,2175
182.944,2141
183.021,2039
183.104,2201
183.182,2136
183.261,2105
183.358,2110
183.455,2225
183.562,2122
183.623,2188
183.687,2041
183.771,2080
183.863,2158
183.959,2077
184.041,2109
184.134,2167
184.201,2066
184.261,2183
184.321,2137
184.390,2097
184.454,2114
184.530,2207
184.611,2096
184.704,2111
184.807,2148
184.885,2255
184.996,2172
185.055,2067
185.139,2138
185.234,2122
185.293,2120
185.387,2124
185.496,2005
185.613,2183
185.685,2086
185.774,2162
185.874,2017
185.996,2114
186.051,2124
186.145,1949
186.208,1930
186.280,2069
186.364,2121
186.458,2160
186.580,2122
186.663,2165
186.775,2080
186.846,2044
186.924,2146
187.025,2031
187.100,2046
187.207,2194
187.282,2063
187.388,2098
187.477,2103
187.581,2068
187.703,2002
187.759,2147
187.867,2215
187.957,2185
188.056,2021
188.136,2067
188.241,2104
188.320,2121
188.431,2061
188.540,2097
188.620,2100
188.717,2095
188.832,2191
188.917,2133
189.000,2000
189.098,2084
189.220,2250
189.342,2123
189.398,2177
189.497,2179
189.562,2106
189.618,2108
189.701,2088
189.785,2227
189.866,2115
189.948,2123
190.028,2166
190.107,2012
190.209,2214
190.306,2182
190.396,2133
190.465,2112
190.548,2145
190.631,2176
190.716,2018
190.792,2201
190.884,2217
190.940,2090
190.996,2150
191.115,2093
191.178,2188
191.234,2089
191.339,2077
191.395,2176
191.461,2074
191.545,2032
191.667,2127
191.770,2263
191.826,2170
191.882,2146
191.978,2146
192.097,2100
192.178,2125
192.238,2086
192.310,2178
192.430,2175
192.488,2124
192.544,2029
192.622,2101
192.698,2148
192.775,2137
192.861,2115
192.983,2241
193.064,2080
193.181,2149
193.280,2173
193.359,2147
193.425,2213
193.484,2148
193.582,2097
193.675,2083
193.797,2206
193.886,1999
193.945,2158
194.019,2069
194.075,2212
194.166,2252
194.254,2136
