wavelength,intensity
180.860,1993
180.937,2058
181.008,2036
181.122,2113
181.191,2182
181.264,2183
181.374,2098
181.447,2036
181.507,2125
181.603,2164
181.689,2123
181.774,2215
181.852,2080
181.918,2069
181.974,2161
182.083,2080
182.158,2168
182.246,2017
182.340,2109
182.416,2016
182.472,2111
182.528,2094
182.648,2148
182.729,2064
182.790,2153
182.877,2191
182.944,2176
183.021,1975
183.104,2087
183.182,2129
183.261,2113
183.358,2150
183.455,2117
183.562,2163
183.623,2130
183.687,2056
183.771,2163
183.863,2089
183.959,2156
184.041,2091
184.134,2041
184.201,2076
184.261,2000
184.321,2054
184.390,1985
184.454,2164
184.530,2131
184.611,2160
184.704,2123
184.807,2031
184.885,2036
184.996,2105
185.055,2118
185.139,2137
185.234,2092
185.293,2094
185.387,2128
185.496,2099
185.613,2053
185.685,2192
185.774,2200
185.874,2137
185.996,2132
186.051,2120
186.145,2237
186.208,2071
186.280,2024
186.364,2198
186.458,2070
186.580,2085
186.663,2125
186.775,2090
186.846,2139
186.924,2128
187.025,2102
187.100,2130
187.207,2097
187.282,2101
187.388,2100
187.477,2113
187.581,2076
187.703,2161
187.759,2201
187.867,2036
187.957,2106
188.056,2088
188.136,2122
188.241,2169
188.320,2233
188.431,2200
188.540,2152
188.620,2033
188.717,2163
188.832,2109
188.917,2094
189.000,2120
189.098,2096
189.220,2163
189.342,2192
189.398,2106
189.497,2186
189.562,2147
189.618,2212
189.701,2156
189.785,2044
189.866,2196
189.948,2115
190.028,2085
190.107,2140
190.209,2175
190.306,2054
190.396,2178
190.465,2142
190.548,1958
190.631,2116
190.716,2137
190.792,2179
190.884,2215
190.940,2081
190.996,2064
191.115,2147
191.178,2140
191.234,2041
191.339,2175
191.395,2053
191.461,2226
191.545,2174
191.667,2207
191.770,2055
191.826,2095
191.882,2065
191.978,2057
192.097,2117
192.178,1963
192.238,2097
192.310,2116
192.430,2208
192.488,2172
192.544,2087
192.622,2137
192.698,2037
192.775,2226
192.861,2208
192.983,2127
193.064,2198
193.181,2180
193.280,2169
193.359,2126
193.425,2096
193.484,2159
193.582,2110
193.675,2084
193.797,2168
193.886,2204
193.945,2206
194.019,2209
194.075,2245
194.166,2123
194.254,2223
194.353,2116
194.450,2187
194.572,2172
194.659,2118
194.782,2255
194.871,2102
194.965,2131
195.058,2283
195.162,2147
195.256,2170
195.337,2075
195.403,2114
195.495,2211
195.602,2234
195.707,2087
195.799,2165
195.910,2100
195.997,2247
196.093,2196
196.191,2123
196.250,2232
196.345,2111
196.423,2102
196.492,2158
196.583,2033
196.654,2148
196.729,2111
196.805,2132
196.903,2132
197.003,2131
197.088,2108
197.208,2113
197.297,2194
197.388,2104
197.454,2153
197.510,2190
197.607,2179
197.694,2231
197.766,2070
197.849,2087
197.937,2176
198.022,2131
198.123,2186
198.195,2152
198.286,2226
198.382,2212
198.471,2230
198.536,2178
198.627,2280
198.748,2106
198.844,2191
198.933,2153
199.055,2239
199.135,2058
199.191,2121
199.276,2199
199.344,2100
199.435,2146
199.509,2248
199.579,2152
199.697,2145
199.806,2244
199.909,2237
200.000,2208
200.083,2207
200.184,2101
200.261,2204
200.352,2224
200.466,2240
200.549,2095
200.641,2197
200.733,2178
200.795,2142
200.907,2186
201.003,2149
201.089,2188
201.211,2239
201.325,2207
201.423,2061
201.494,2143
201.591,2052
201.651,2212
201.768,2147
201.824,2206
201.936,2271
202.014,2194
202.070,2223
202.149,2173
202.215,2246
202.286,2179
202.356,2113
202.427,2163
202.532,2191
202.617,2159
202.690,2078
202.746,2193
202.832,2127
202.948,2180
203.020,2132
203.100,2264
203.156,2106
203.248,2162
203.305,2055
203.391,2195
203.470,2282
203.545,2149
203.634,2123
203.714,2207
203.781,2091
203.872,2216
203.954,2229
204.010,2256
204.071,2132
204.163,2258
204.233,2192
204.289,2043
204.403,2199
204.488,2154
204.579,2173
204.664,2086
204.760,2187
204.828,2149
204.907,2201
204.963,2158
205.074,2152
205.163,2102
205.219,2270
205.307,2214
205.364,2251
205.441,2238
205.527,2216
205.631,2163
205.693,2145
205.773,2242
205.862,2186
205.958,2220
206.054,2172
206.151,2146
206.237,2216
206.333,2206
206.409,2274
206.502,2333
206.557,2219
206.657,2191
206.754,2173
206.858,2110
206.947,2147
207.018,2270
207.107,2210
207.229,2107
207.322,2149
207.378,2234
207.465,2234
207.532,2131
207.602,2219
207.677,2219
207.795,2210
207.876,2149
207.962,2302
208.058,2164
208.157,2204
208.248,2203
208.370,2261
208.479,2180
208.569,2288
208.639,2125
208.747,2254
208.860,2167
208.975,2062
209.060,2153
209.136,2232
209.192,2265
209.285,2142
209.357,2268
209.470,2210
209.553,2132
209.611,2205
209.733,2185
209.791,2119
209.847,2271
209.913,2159
210.017,2155
210.124,2192
210.211,2257
210.313,2310
210.396,2185
210.499,2192
210.581,2143
210.682,2325
210.760,2117
210.856,2144
210.917,2143
211.008,2256
211.095,2246
211.152,2207
211.220,2201
211.314,2180
211.424,2155
211.506,2190
211.625,2218
211.696,2163
211.768,2193
211.824,2135
211.909,2269
211.994,2145
212.059,2281
212.153,2334
212.220,2285
212.321,2187
212.397,2245
212.488,2109
212.551,2285
212.668,2194
212.765,2141
212.821,2043
212.903,2229
213.003,2211
213.125,2140
213.212,2211
213.316,2196
213.396,2216
213.507,2183
213.563,2211
213.644,2216
213.730,2255
213.808,2117
213.907,2169
213.966,2188
214.067,2171
214.148,2193
214.217,2260
214.286,2167
214.348,2170
214.424,2234
214.515,2149
214.628,2210
214.698,2316
214.764,2252
214.844,2208
214.900,2121
214.997,2253
215.063,2237
215.119,2303
215.203,2231
215.300,2189
215.394,2174
215.497,2266
215.584,2326
215.677,2390
215.765,2182
215.858,2253
215.950,2302
216.044,2285
216.100,2176
216.163,2132
216.219,2247
216.311,2312
216.399,2167
216.486,2164
216.547,2098
216.655,2211
216.711,2242
216.802,2196
216.895,2134
216.991,2134
217.092,2233
217.195,2307
217.274,2212
217.338,2306
217.410,2208
217.493,2170
217.548,2264
217.604,2274
217.689,2295
217.764,2333
217.851,2220
217.934,2165
218.036,2236
218.124,2239
218.200,2274
218.267,2179
218.358,2129
218.437,2204
218.505,2245
218.591,2208
218.665,2245
218.751,2149
218.828,2200
218.925,2332
218.993,2227
219.073,2232
219.176,2222
219.260,2239
219.382,2154
219.438,2276
219.527,2203
219.583,2285
219.649,2251
219.734,2240
219.844,2088
219.952,2297
220.008,2301
220.088,2299
220.171,2299
220.266,2232
220.372,2200
220.441,2302
220.508,2246
220.564,2123
220.658,2288
220.760,2162
220.819,2201
220.898,2232
220.977,2184
221.067,2296
221.163,2246
221.225,2237
221.312,2328
221.402,2302
221.490,2230
221.560,2262
221.675,2212
221.784,2166
221.857,2285
221.931,2160
222.018,2261
222.126,2250
222.216,2231
222.306,2271
222.395,2160
222.474,2228
222.590,2223
222.712,2306
222.782,2296
222.868,2246
222.947,2165
223.024,2211
223.107,2332
223.227,2168
223.296,2295
223.377,2268
223.447,2154
223.533,2208
223.641,2321
223.714,2183
223.829,2245
223.946,2196
224.052,2234
224.150,2264
224.260,2284
224.381,2306
224.460,2256
224.537,2259
224.623,2286
224.679,2213
224.786,2283
224.842,2275
224.912,2330
224.987,2336
225.078,2207
225.160,2255
225.282,2271
225.375,2243
225.485,2275
225.607,2246
225.671,2347
225.746,2274
225.868,2313
225.953,2202
226.017,2225
226.118,2259
226.188,2170
226.288,2241
226.344,2258
226.433,2196
226.506,2296
226.594,2305
226.668,2316
226.777,2154
226.833,2299
226.935,2284
227.011,2183
227.067,2232
227.173,2143
227.275,2306
227.362,2240
227.442,2134
227.526,2193
227.596,2157
227.705,2271
227.813,2278
227.884,2376
227.996,2253
228.111,2214
228.198,2249
228.284,2258
228.391,2248
228.513,2248
228.601,2238
228.694,2157
228.788,2225
228.865,2370
228.946,2343
229.031,2291
229.104,2326
229.160,2270
229.265,2217
229.387,2242
229.458,2189
229.556,2390
229.618,2287
229.735,2283
229.853,2166
229.943,2276
230.023,2388
230.132,2309
230.223,2267
230.302,2221
230.358,2268
230.414,2359
230.470,2261
230.592,2291
230.684,2206
230.780,2282
230.902,2228
231.013,2186
231.112,2346
231.230,2242
231.285,2215
231.374,2344
231.474,2374
231.573,2152
231.662,2333
231.751,2279
231.858,2126
231.939,2349
232.052,2264
232.136,2284
232.241,2320
232.306,2277
232.385,2174
232.470,2417
232.526,2265
232.609,2391
232.698,2410
232.762,2338
232.850,2244
232.914,2212
233.009,2326
233.095,2292
233.195,2294
233.259,2316
233.342,2429
233.452,2128
233.562,2221
233.653,2212
233.719,2383
233.808,2296
233.913,2270
234.014,2262
234.105,2301
234.182,2188
234.260,2243
234.380,2318
234.482,2218
234.572,2313
234.660,2212
234.717,2324
234.792,2221
234.881,2256
234.971,2355
235.027,2284
235.083,2207
235.149,2262
235.243,2352
235.331,2202
235.411,2298
235.517,2226
235.600,2209
235.693,2432
235.799,2303
235.855,2231
235.945,2222
236.034,2298
236.103,2204
236.205,2296
236.318,2270
236.397,2274
236.519,2326
236.602,2198
236.680,2290
236.785,2328
236.859,2278
236.963,2363
237.023,2378
237.145,2255
237.229,2240
237.317,2273
237.404,2354
237.500,2395
237.557,2292
237.613,2175
237.685,2323
237.755,2265
237.819,2226
237.903,2230
237.959,2267
238.073,2325
238.153,2351
238.247,2228
238.331,2248
238.436,2390
238.553,2358
238.642,2216
238.708,2279
238.802,2248
238.897,2283
238.953,2238
239.067,2376
239.123,2244
239.203,2357
239.293,2382
239.378,2298
239.449,2283
239.552,2249
239.645,2358
239.747,2339
239.847,2286
239.944,2373
240.045,2229
240.123,2331
240.179,2287
240.267,2266
240.345,2350
240.460,2396
240.543,2340
240.616,2369
240.738,2427
240.814,2298
240.920,2369
241.020,2381
241.109,2346
241.213,2324
241.294,2350
241.381,2300
241.479,2304
241.548,2273
241.609,2418
241.702,2292
241.761,2339
241.863,2304
241.967,2344
242.051,2300
242.156,2345
242.238,2362
242.311,2333
242.367,2336
242.435,2352
242.491,2286
242.573,2326
242.683,2257
242.766,2323
242.848,2391
242.939,2292
243.028,2434
243.104,2268
243.181,2282
243.242,2263
243.364,2286
243.439,2216
243.499,2319
243.588,2372
243.671,2240
243.770,2313
243.845,2343
243.952,2278
244.026,2383
244.134,2256
244.190,2254
244.251,2370
244.326,2516
244.415,2293
244.502,2341
244.576,2345
244.648,2357
244.703,2339
244.811,2304
244.910,2372
244.988,2284
245.097,2374
245.206,2201
245.299,2393
245.410,2456
245.506,2347
245.579,2344
245.649,2362
245.743,2349
245.823,2312
245.907,2320
246.005,2394
246.098,2342
246.167,2257
246.277,2338
246.367,2323
246.462,2246
246.556,2394
246.626,2237
246.714,2311
246.786,2320
246.883,2344
246.986,2232
247.054,2391
247.126,2400
247.211,2325
247.275,2308
247.365,2304
247.449,2317
247.518,2136
247.640,2350
247.753,2288
247.846,2318
247.912,2431
247.968,2453
248.055,2369
248.131,2234
248.195,2598
248.313,19706
248.380,10800
248.490,2423
248.546,2412
248.633,2311
248.755,2290
248.811,2249
248.902,2285
249.006,2324
249.111,2372
249.225,2315
249.325,2322
249.381,2253
249.462,2301
249.584,2248
249.675,2283
249.761,2334
249.883,2337
249.996,2279
250.063,2315
250.119,2354
250.212,2291
250.268,2353
250.342,2277
250.400,2334
250.518,2270
250.624,2347
250.727,2239
250.790,2442
250.858,2332
250.962,2354
251.061,2278
251.162,2362
251.220,2480
251.305,2282
251.365,2383
251.424,2240
251.490,2312
251.601,5101
251.667,3487
251.759,2384
251.863,2344
251.944,2326
252.025,2264
252.081,2424
252.174,2285
252.277,2435
252.358,2368
252.444,2271
252.532,2418
252.651,2406
252.754,2369
252.850,2275
252.943,2434
253.017,2326
253.133,2326
253.203,2414
253.294,2323
253.381,2357
253.482,2415
253.562,2378
253.647,2349
253.741,2439
253.824,2282
253.939,2322
254.026,2332
254.133,2306
254.245,2424
254.354,2315
254.410,2311
254.497,2288
254.590,2364
254.712,2344
254.834,2362
254.956,2398
255.054,2290
255.116,2392
255.223,2326
255.305,2374
255.374,2333
255.487,2378
255.609,2386
255.684,2427
255.772,2375
255.853,2381
255.909,2457
255.999,2273
256.055,2295
256.140,2402
256.237,2355
256.357,2308
256.448,2389
256.534,2299
256.621,2432
256.727,2249
256.783,2373
256.879,2389
256.974,2271
257.038,2422
257.141,2398
257.243,2383
257.299,2286
257.381,2374
257.461,2406
257.541,3036
257.597,5158
257.671,3384
257.758,2390
257.829,2376
257.914,2392
257.997,2340
258.072,2288
258.128,2295
258.217,2374
258.317,2403
258.425,2336
258.532,2489
258.592,2458
258.687,2508
258.743,2418
258.825,2306
258.936,2450
259.002,2400
259.067,2359
259.132,2402
259.192,2346
259.293,2915
259.349,4447
259.428,3280
259.534,2317
259.605,2306
259.722,2280
259.841,2944
259.918,11014
260.023,3750
260.143,2341
260.265,2303
260.351,2394
260.436,2257
260.531,2407
260.609,2209
260.686,2402
260.763,2270
260.852,2419
260.974,2399
261.064,2368
261.132,2342
261.242,2380
261.323,2294
261.426,2301
261.498,2414
261.593,2426
261.672,2322
261.761,2399
261.822,2439
261.922,2353
262.032,2418
262.109,2360
262.186,2385
262.300,2396
262.356,2442
262.478,2386
262.579,2397
262.671,2399
262.752,2387
262.861,2440
262.948,2398
263.029,2428
263.126,2383
263.210,2352
263.293,2398
263.360,2414
263.427,2362
263.483,2413
